Rule ID,Title,Severity,Action,Category,Description,Pattern,Min Count,Max Chars,LLM Prompt,Applies To,Endpoints,Shadow Override
MS-COPILOT-1.0,Microsoft Copilot: Block data sharing prompts,error,block,,,"(?i)\b(?:copilot|github copilot|microsoft copilot)[^.]{0,50}(?:save|store|remember|share|upload|send|transmit|export|backup|sync|cloud)\b",1,,,"user_input, prompt",/*,enforce
MS-COPILOT-2.0,Microsoft Copilot: Block telemetry requests,error,block,,,"(?i)\b(?:analyze|generate|create|produce)[^.]{0,30}(?:report|analytics|statistics|metrics|usage|patterns|trends)[^.]{0,30}(?:about|from|of|for)[^.]{0,30}(?:this|my|our|government|department|agency|off",1,,,"user_input, prompt",/*,enforce
MS-COPILOT-3.0,Microsoft Copilot: Block training data requests,error,block,,,"(?i)\b(?:use|train|improve|enhance|update|feed|add)[^.]{0,30}(?:this|my|our)[^.]{0,30}(?:data|information|content|code|documents)[^.]{0,30}(?:to|for)[^.]{0,30}(?:training|learning|improvement|enhancem",1,,,"user_input, prompt",/*,enforce
MS-COPILOT-4.0,Microsoft Copilot: Block code repository scanning,error,block,,,"(?i)\b(?:scan|analyze|review|examine|audit|check)[^.]{0,30}(?:entire|whole|all|my|our)[^.]{0,30}(?:repository|repo|codebase|project|files|source code)\b",1,,,"user_input, prompt",/*,enforce
MS-COPILOT-5.0,Microsoft Copilot: Block credential extraction attempts,error,block,,,"(?i)\b(?:find|extract|identify|locate|get|show|list)[^.]{0,30}(?:credentials|passwords|keys|tokens|secrets|api keys|config|configuration|env|environment)\b",1,,,"user_input, prompt",/*,enforce
MS-COPILOT-6.0,Microsoft Copilot: Block infrastructure disclosure,error,block,,,"(?i)\b(?:describe|explain|show|tell me about|what is)[^.]{0,30}(?:our|my|this|the)[^.]{0,30}(?:infrastructure|architecture|network|servers|databases|systems|environment|deployment|setup|configuration)",1,,,"user_input, prompt",/*,enforce
MS-COPILOT-7.0,Microsoft Copilot: Block PII combination requests,error,block,,,"(?i)\b(?:combine|merge|correlate|join|match|link|connect)[^.]{0,50}(?:citizen|resident|employee|person|individual|user)[^.]{0,30}(?:data|information|records|profiles)\b",1,,,"user_input, prompt",/*,enforce
MS-COPILOT-8.0,Microsoft Copilot: Block database query generation,error,block,,,"(?i)\b(?:generate|create|write|build)[^.]{0,30}(?:sql|query|database)[^.]{0,50}(?:select|from|where|join|update|insert|delete)\b",1,,,"user_input, prompt",/*,enforce
MS-COPILOT-9.0,Microsoft Copilot: Block citizen data profiling,error,block,,,"(?i)\b(?:profile|categorize|classify|segment|group|analyze|identify)[^.]{0,30}(?:citizens|residents|people|individuals|users)[^.]{0,30}(?:based on|by|using|from)[^.]{0,30}(?:data|information|patterns|",1,,,"user_input, prompt",/*,enforce
MS-COPILOT-10.0,Microsoft Copilot: Block compliance bypass attempts,error,block,,,"(?i)\b(?:bypass|circumvent|avoid|skip|ignore|disable|override|turn off)[^.]{0,30}(?:security|compliance|audit|logging|monitoring|controls|restrictions|policies|rules)\b",1,,,"user_input, prompt",/*,enforce
MS-COPILOT-11.0,Microsoft Copilot: Government entity identification,warning,flag,,,(?i)\b(?:illinois|state of illinois|il gov|department of|secretary of state|dmv|revenue|healthcare|human services|corrections|transportation|dnr|dcfs|dhs|idor|idot)\b,1,,,"user_input, prompt",/*,
MS-COPILOT-12.0,Microsoft Copilot: Bulk data export attempts,error,block,,,"(?i)\b(?:export|download|generate|create|extract)[^.]{0,30}(?:all|bulk|entire|complete|full)[^.]{0,30}(?:data|dataset|records|report|file|csv|excel|json|xml)\b",1,,,"user_input, prompt",/*,enforce
MS-COPILOT-MICROSOFT-REFS,Microsoft Copilot: Microsoft service integration references,warning,flag,,,(?i)\b(?:azure|office 365|o365|sharepoint|onedrive|teams|outlook|exchange|power bi|dynamics|microsoft cloud|m365|microsoft 365)\b,1,,,"user_input, prompt",/*,
MS-COPILOT-CODE-SUGGESTIONS,Microsoft Copilot: Code suggestions with embedded secrets,error,block,,,"(?i)(?:const|var|let|string|password|key|token|secret)\s*[=:]\s*[""'](?:[A-Za-z0-9+/=_\-]{16,}|[a-f0-9]{32,})[""']",1,,,"user_input, prompt",/*,enforce
PII-DL-AL-1.0,Alabama Driver's License Detection,medium,flag,,,"\b\d{1,8}\b",1,,,"request, response",*,
PII-DL-AK-1.0,Alaska Driver's License Detection,medium,flag,,,"\b\d{1,7}\b",1,,,"request, response",*,
PII-DL-AZ-1.0,Arizona Driver's License Detection,medium,flag,,,"\b[A-Z]\d{8}\b|\b[A-Z]{2}\d{2,5}\b|\b\d{9}\b",1,,,"request, response",*,
PII-DL-AR-1.0,Arkansas Driver's License Detection,medium,flag,,,"\b\d{4,9}\b",1,,,"request, response",*,
PII-DL-CA-1.0,California Driver's License Detection,medium,flag,,,\b[A-Z]\d{7}\b,1,,,"request, response",*,
PII-DL-CO-1.0,Colorado Driver's License Detection,medium,flag,,,"\b\d{9}\b|\b[A-Z]{1,2}\d{1,6}\b",1,,,"request, response",*,
PII-DL-CT-1.0,Connecticut Driver's License Detection,medium,flag,,,\b\d{9}\b,1,,,"request, response",*,
PII-DL-DE-1.0,Delaware Driver's License Detection,medium,flag,,,"\b\d{1,7}\b",1,,,"request, response",*,
PII-DL-DC-1.0,District of Columbia Driver's License Detection,medium,flag,,,"\b\d{7}\b|\b[A-Z]{1,3}\d{3,7}\b",1,,,"request, response",*,
PII-DL-FL-1.0,Florida Driver's License Detection,medium,flag,,,\b[A-Z]\d{12}\b,1,,,"request, response",*,
PII-DL-GA-1.0,Georgia Driver's License Detection,medium,flag,,,"\b\d{7,9}\b",1,,,"request, response",*,
PII-DL-HI-1.0,Hawaii Driver's License Detection,medium,flag,,,\b[A-Z]\d{8}\b|\b\d{9}\b,1,,,"request, response",*,
PII-DL-ID-1.0,Idaho Driver's License Detection,medium,flag,,,\b[A-Z]{2}\d{6}[A-Z]\b|\b\d{9}\b,1,,,"request, response",*,
PII-DL-IL-1.0,Illinois Driver's License Detection,medium,flag,,,\b[A-Z]\d{11}\b|\b\d{11}[A-Z]\b,1,,,"request, response",*,
PII-DL-IN-1.0,Indiana Driver's License Detection,medium,flag,,,\b[A-Z]\d{9}\b|\b\d{10}\b,1,,,"request, response",*,
PII-DL-IA-1.0,Iowa Driver's License Detection,medium,flag,,,\b\d{9}\b|\b\d{3}[A-Z]{2}\d{4}\b,1,,,"request, response",*,
PII-DL-KS-1.0,Kansas Driver's License Detection,medium,flag,,,\b[A-Z]\d{8}\b|\b\d{9}\b,1,,,"request, response",*,
PII-DL-KY-1.0,Kentucky Driver's License Detection,medium,flag,,,\b[A-Z]\d{8}\b|\b\d{9}\b,1,,,"request, response",*,
PII-DL-LA-1.0,Louisiana Driver's License Detection,medium,flag,,,"\b\d{1,9}\b",1,,,"request, response",*,
PII-DL-ME-1.0,Maine Driver's License Detection,medium,flag,,,\b\d{7}[A-Z]?\b,1,,,"request, response",*,
PII-DL-MD-1.0,Maryland Driver's License Detection,medium,flag,,,\b[A-Z]\d{12}\b,1,,,"request, response",*,
PII-DL-MA-1.0,Massachusetts Driver's License Detection,medium,flag,,,\b[A-Z]\d{8}\b|\b\d{9}\b,1,,,"request, response",*,
PII-DL-MI-1.0,Michigan Driver's License Detection,medium,flag,,,"\b[A-Z]\d{10,12}\b",1,,,"request, response",*,
PII-DL-MN-1.0,Minnesota Driver's License Detection,medium,flag,,,\b[A-Z]\d{12}\b,1,,,"request, response",*,
PII-DL-MS-1.0,Mississippi Driver's License Detection,medium,flag,,,\b\d{9}\b,1,,,"request, response",*,
PII-DL-MO-1.0,Missouri Driver's License Detection,medium,flag,,,"\b[A-Z]\d{5,9}\b|\b[A-Z]\d{6}R\b|\b\d{8,9}\b",1,,,"request, response",*,
PII-DL-MT-1.0,Montana Driver's License Detection,medium,flag,,,\b\d{13}\b|\b\d{9}[A-Z]{3}\b|\b\d{14}\b,1,,,"request, response",*,
PII-DL-NE-1.0,Nebraska Driver's License Detection,medium,flag,,,"\b[A-Z]\d{3,8}\b",1,,,"request, response",*,
PII-DL-NV-1.0,Nevada Driver's License Detection,medium,flag,,,\b\d{4}\d{12}\b|\b\d{12}\b,1,,,"request, response",*,
PII-DL-NH-1.0,New Hampshire Driver's License Detection,medium,flag,,,\b\d{2}[A-Z]{3}\d{5}\b,1,,,"request, response",*,
PII-DL-NJ-1.0,New Jersey Driver's License Detection,medium,flag,,,\b[A-Z]\d{14}\b,1,,,"request, response",*,
PII-DL-NM-1.0,New Mexico Driver's License Detection,medium,flag,,,"\b\d{8,9}\b",1,,,"request, response",*,
PII-DL-NY-1.0,New York Driver's License Detection,medium,flag,,,"\b[A-Z]\d{7}\b|\b[A-Z]\d{18}\b|\b\d{8,9}\b|\b\d{16}\b",1,,,"request, response",*,
PII-DL-NC-1.0,North Carolina Driver's License Detection,medium,flag,,,"\b\d{1,12}\b",1,,,"request, response",*,
PII-DL-ND-1.0,North Dakota Driver's License Detection,medium,flag,,,\b[A-Z]{3}\d{6}\b|\b\d{9}\b,1,,,"request, response",*,
PII-DL-OH-1.0,Ohio Driver's License Detection,medium,flag,,,"\b[A-Z]\d{4,8}\b|\b[A-Z]{2}\d{3,7}\b|\b\d{8}\b",1,,,"request, response",*,
PII-DL-OK-1.0,Oklahoma Driver's License Detection,medium,flag,,,\b[A-Z]\d{9}\b|\b\d{9}\b,1,,,"request, response",*,
PII-DL-OR-1.0,Oregon Driver's License Detection,medium,flag,,,"\b\d{1,9}\b",1,,,"request, response",*,
PII-DL-PA-1.0,Pennsylvania Driver's License Detection,medium,flag,,,\b\d{8}\b,1,,,"request, response",*,
PII-DL-RI-1.0,Rhode Island Driver's License Detection,medium,flag,,,\b[A-Z]\d{6}\b|\b\d{7}\b,1,,,"request, response",*,
PII-DL-SC-1.0,South Carolina Driver's License Detection,medium,flag,,,"\b\d{5,11}\b",1,,,"request, response",*,
PII-DL-SD-1.0,South Dakota Driver's License Detection,medium,flag,,,"\b\d{6,10}\b|\b\d{12}\b",1,,,"request, response",*,
PII-DL-TN-1.0,Tennessee Driver's License Detection,medium,flag,,,"\b\d{7,9}\b",1,,,"request, response",*,
PII-DL-TX-1.0,Texas Driver's License Detection,medium,flag,,,"\b\d{7,8}\b",1,,,"request, response",*,
PII-DL-UT-1.0,Utah Driver's License Detection,medium,flag,,,"\b\d{4,10}\b",1,,,"request, response",*,
PII-DL-VT-1.0,Vermont Driver's License Detection,medium,flag,,,\b\d{8}\b|\b\d{7}A\b,1,,,"request, response",*,
PII-DL-VA-1.0,Virginia Driver's License Detection,medium,flag,,,\b[A-Z]\d{8}\b|\b\d{9}\b,1,,,"request, response",*,
PII-DL-WA-1.0,Washington Driver's License Detection,medium,flag,,,"\b(?=.*[A-Z])[A-Z0-9]{1,12}\b|\bWDL\d{9}\b",1,,,"request, response",*,
PII-DL-WV-1.0,West Virginia Driver's License Detection,medium,flag,,,"\b[A-Z]{1,2}\d{5,6}\b|\b\d{7}\b",1,,,"request, response",*,
PII-DL-WI-1.0,Wisconsin Driver's License Detection,medium,flag,,,\b[A-Z]\d{13}\b,1,,,"request, response",*,
PII-DL-WY-1.0,Wyoming Driver's License Detection,medium,flag,,,"\b\d{9,10}\b",1,,,"request, response",*,
PII-DL-US-1.0,US Driver's License Comprehensive Detection,medium,flag,,,"(\b\d{1,8}\b)|(\b\d{1,7}\b)|(\b[A-Z]\d{8}\b|\b[A-Z]{2}\d{2,5}\b|\b\d{9}\b)|(\b\d{4,9}\b)|(\b[A-Z]\d{7}\b)|(\b\d{9}\b|\b[A-Z]{1,2}\d{1,6}\b)|(\b\d{9}\b)|(\b\d{1,7}\b)|(\b\d{7}\b|\b[A-Z]{1,3}\d{3,7}\b)|",1,,,"request, response",*,
PII-LP-STANDARD-1.0,Standard US License Plates Detection,medium,flag,,,"\b[A-Z]{3}[-\s]?\d{3,4}\b|\b\d{3,4}[-\s]?[A-Z]{3}\b|\b[A-Z]{2,3}[-\s]?\d{2,4}[-\s]?[A-Z]?\b",1,,,"request, response",*,
PII-LP-SPECIALTY-1.0,Specialty/Vanity Plates Detection,medium,flag,,,"\b(?=.*[A-Z])(?=.*\d)[A-Z0-9]{2,8}\b",1,,,"request, response",*,
PII-LP-COMMERCIAL-1.0,Commercial Vehicle Plates Detection,medium,flag,,,"\bT\d{6}\b|\bC\d{5,7}\b|\bCOM\d{4}\b",1,,,"request, response",*,
PII-ADDR-STREET-1.0,US Street Address Detection,medium,flag,,,\b\d+\s+[A-Za-z\s]+(?:Street|St|Avenue|Ave|Road|Rd|Drive|Dr|Lane|Ln|Boulevard|Blvd|Circle|Cir|Court|Ct|Place|Pl|Way)\b,1,,,"request, response",*,
PII-ADDR-ZIP-1.0,US ZIP Code Detection,medium,flag,,,\b\d{5}(?:-\d{4})?\b,1,,,"request, response",*,
PII-PHONE-US-1.0,US Phone Number Detection (US phone with parentheses),medium,flag,,,\(\d{3}\)\s*\d{3}[-.\s]?\d{4},1,,,"request, response",*,
PII-PHONE-US-2.0,US Phone Number Detection (US phone with separators),medium,flag,,,\d{3}[-.\s]\d{3}[-.\s]\d{4},1,,,"request, response",*,
PII-PHONE-US-3.0,US Phone Number Detection (US phone 10 digits),medium,flag,,,\b\d{10}\b,1,,,"request, response",*,
PII-PHONE-US-4.0,US Phone Number Detection (US phone with country code),medium,flag,,,\+1[-.\s]?\d{3}[-.\s]?\d{3}[-.\s]?\d{4},1,,,"request, response",*,
PII-CREDIT-VISA-1.0,Visa Credit Card Detection,high,flag,,,\b4[0-9]{12}(?:[0-9]{3})?\b,1,,,"request, response",*,
PII-CREDIT-MASTERCARD-1.0,Mastercard Credit Card Detection,high,flag,,,\b5[1-5][0-9]{14}\b,1,,,"request, response",*,
PII-CREDIT-AMEX-1.0,American Express Credit Card Detection,high,flag,,,\b3[47][0-9]{13}\b,1,,,"request, response",*,
PII-CREDIT-DISCOVER-1.0,Discover Credit Card Detection,high,flag,,,\b6(?:011|5[0-9]{2})[0-9]{12}\b,1,,,"request, response",*,
PII-CREDIT-DINERS-1.0,Diners Club Credit Card Detection,high,flag,,,\b3[0689][0-9]{11}\b,1,,,"request, response",*,
PII-CREDIT-JCB-1.0,JCB Credit Card Detection,high,flag,,,\b(?:2131|1800|35\d{3})\d{11}\b,1,,,"request, response",*,
PII-BANK-ACCOUNT-1.0,US Bank Account Number Detection,high,flag,,,"\b\d{8,17}\b(?=.*(?:account|acct|checking|savings|routing))",1,,,"request, response",*,
PII-ROUTING-NUMBER-1.0,US Bank Routing Number Detection,medium,flag,,,\b[0-9]{9}\b(?=.*(?:routing|aba|transit)),1,,,"request, response",*,
PII-US-PASSPORT-NEW-1.0,US Passport Number (New Format) Detection,high,flag,,,\b[0-9]{9}\b,1,,,"request, response",*,
PII-US-PASSPORT-OLD-1.0,US Passport Number (Old Format) Detection,high,flag,,,\b[A-Z]{2}[0-9]{7}\b,1,,,"request, response",*,
PII-ITIN-1.0,Individual Taxpayer Identification Number (ITIN),high,flag,,,\b9\d{2}[-\s]?[7-9]\d[-\s]?\d{4}\b,1,,,"request, response",*,
PII-EIN-1.0,Employer Identification Number (EIN),medium,flag,,,\b\d{2}[-\s]?\d{7}\b,1,,,"request, response",*,
PII-MILITARY-ID-1.0,US Military ID Number Detection,high,flag,,,\b\d{10}\b(?=.*(?:military|dod|army|navy|air force|marines|coast guard|service member)),1,,,"request, response",*,
PII-MEDICARE-MBI-1.0,Medicare Beneficiary Identifier (MBI),high,flag,,,"\b[1-9][A-C,E-H,J-N,P-T,V-Y][A-C,E-H,J-N,P-T,V-Y]\d[A-C,E-H,J-N,P-T,V-Y]\d[A-C,E-H,J-N,P-T,V-Y]\d{4}\b",1,,,"request, response",*,
PII-DOB-MMDDYYYY-1.0,Date of Birth (MM/DD/YYYY) Detection,medium,flag,,,\b(0[1-9]|1[0-2])[/-](0[1-9]|[12][0-9]|3[01])[/-](19|20)\d{2}\b,1,,,"request, response",*,
PII-DOB-DDMMYYYY-1.0,Date of Birth (DD/MM/YYYY) Detection,medium,flag,,,\b(0[1-9]|[12][0-9]|3[01])[/-](0[1-9]|1[0-2])[/-](19|20)\d{2}\b,1,,,"request, response",*,
PII-DOB-YYYYMMDD-1.0,Date of Birth (YYYY-MM-DD) Detection,medium,flag,,,\b(19|20)\d{2}[-/](0[1-9]|1[0-2])[-/](0[1-9]|[12][0-9]|3[01])\b,1,,,"request, response",*,
PII-DOB-WRITTEN-1.0,Date of Birth (Written Format) Detection,medium,flag,,,"\b(?:January|February|March|April|May|June|July|August|September|October|November|December)\s+\d{1,2},?\s+(19|20)\d{2}\b",1,,,"request, response",*,
PII-MAIDEN-NAME-1.0,Mother's Maiden Name Context Detection,medium,flag,,,(?i)\b(?:mother\'?s?\s*maiden\s*name|maiden\s*name|mom\'?s?\s*name\s*before\s*marriage)[:\s]*([A-Z][a-z]+)\b,1,,,"request, response",*,
PII-IPV4-ENHANCED-1.0,IPv4 Address Detection (Enhanced),medium,flag,,,\b(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.){3}(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\b,1,,,"request, response",*,
PII-IPV6-1.0,IPv6 Address Detection,medium,flag,,,"\b(?:[0-9a-fA-F]{1,4}:){7}[0-9a-fA-F]{1,4}\b|\b::1\b|\b(?:[0-9a-fA-F]{1,4}:)*::(?:[0-9a-fA-F]{1,4}:)*[0-9a-fA-F]{1,4}\b",1,,,"request, response",*,
PII-MAC-ADDRESS-1.0,MAC Address Detection,medium,flag,,,\b(?:[0-9A-Fa-f]{2}[:-]){5}[0-9A-Fa-f]{2}\b,1,,,"request, response",*,
PII-SSN-ENHANCED-1.0,Social Security Number (All Formats),high,block,,,\b(?:\d{3}[-\s]?\d{2}[-\s]?\d{4})\b,1,,,"request, response",*,
AI-INJECT-DIRECT-BASIC-1.0,AI Prompt Injection: Basic instruction override,high,block,,,(?i)\b(?:ignore|disregard|forget|skip|override|bypass|cancel)(?:\s+all)?(?:\s+(?:previous|prior|earlier|above|system))?\s+(?:instructions?|commands?|rules?|prompts?|directions?)\b,1,,,"request, response",*,
AI-INJECT-DIRECT-SYSTEM-1.0,AI Prompt Injection: System command injection,high,block,,,(?i)\b(?:new|updated?|different|alternative)\s+(?:instructions?|commands?|system\s+prompt|persona|character|role)\b,1,,,"request, response",*,
AI-INJECT-DIRECT-ADMIN-1.0,AI Prompt Injection: Administrative privilege escalation,high,block,,,(?i)\b(?:as|act\s+as|you\s+are\s+now|pretend\s+to\s+be)\s+(?:admin|administrator|root|superuser|developer|engineer|programmer)\b,1,,,"request, response",*,
AI-INJECT-DIRECT-REVEAL-1.0,AI Prompt Injection: Information extraction commands,high,block,,,(?i)\b(?:reveal|show|display|tell\s+me|give\s+me|list\s+all?|dump|export|extract)\s+(?:all|every|the)?\s*(?:data|information|records|files|users|passwords|keys|secrets|config|database)\b,1,,,"request, response",*,
AI-INJECT-DIRECT-DEBUG-1.0,AI Prompt Injection: Debug mode activation attempts,high,block,,,(?i)\b(?:enable|activate|turn\s+on|switch\s+to)\s+(?:debug|developer|admin|maintenance|diagnostic|test)\s+mode\b,1,,,"request, response",*,
AI-INJECT-INDIRECT-HIDDEN-1.0,AI Prompt Injection: Hidden instruction embedding,high,block,,,(?i)<!--\s*(?:instruction|command|prompt).*?-->|\/\*\s*(?:instruction|command|prompt).*?\*\/|\[hidden\].*?\[\/hidden\],1,,,"request, response",*,
AI-INJECT-INDIRECT-STEGANOGRAPHY-1.0,AI Prompt Injection: Steganographic instructions,high,block,,,(?i)\b(?:between\s+the\s+lines|read\s+carefully|hidden\s+message|secret\s+instruction|encoded\s+command)\b,1,,,"request, response",*,
AI-JAILBREAK-PERSONA-EVIL-1.0,AI Jailbreaking: Evil persona adoption,high,block,,,(?i)\b(?:pretend|act|roleplay|imagine|you\s+are\s+now)\s+(?:to\s+be\s+)?(?:an?\s+)?(?:evil|malicious|harmful|dangerous|unrestricted|uncensored|jailbroken)\s+(?:ai|assistant|bot|character|person)\b,1,,,"request, response",*,
AI-JAILBREAK-PERSONA-DAN-1.0,AI Jailbreaking: DAN-style jailbreaking,high,block,,,(?i)\b(?:DAN|Do\s+Anything\s+Now|jailbreak|unrestricted\s+mode|god\s+mode|developer\s+mode)\b,1,,,"request, response",*,
AI-JAILBREAK-GAME-SCENARIO-1.0,AI Jailbreaking: Game-based rule circumvention,high,block,,,(?i)\b(?:let\'?s\s+play\s+a\s+game|imagine\s+a\s+scenario|hypothetical\s+situation|what\s+if|in\s+an\s+alternate\s+reality)\s+where\s+(?:you\s+)?(?:have\s+no|ignore|bypass)\s+(?:rules|restrictions|lim,1,,,"request, response",*,
AI-JAILBREAK-HYPOTHETICAL-HARM-1.0,AI Jailbreaking: Hypothetical harmful scenarios,high,block,,,(?i)\b(?:hypothetically|theoretically|in\s+theory|just\s+imagine|what\s+would\s+happen\s+if).*?(?:illegal|harmful|dangerous|unethical|confidential|classified)\b,1,,,"request, response",*,
AI-JAILBREAK-EMOTIONAL-MANIPULATION-1.0,AI Jailbreaking: Emotional manipulation for rule bypass,high,block,,,(?i)\b(?:please\s+help\s+me|i\s+really\s+need|it\'?s\s+urgent|life\s+or\s+death|emergency).*?(?:just\s+this\s+once|bend\s+the\s+rules|make\s+an\s+exception)\b,1,,,"request, response",*,
AI-EXTRACT-TRAINING-DATA-1.0,AI Data Extraction: Training data extraction,high,block,,,(?i)\b(?:repeat|recite|reproduce|show\s+me)\s+(?:exactly|verbatim|word\s+for\s+word)?\s*(?:training\s+data|examples?\s+from\s+training|what\s+you\s+learned|memorized\s+text)\b,1,,,"request, response",*,
AI-EXTRACT-CONTEXT-EXPLOIT-1.0,AI Data Extraction: Context exploitation for secrets,high,block,,,(?i)\b(?:based\s+on\s+our\s+conversation|from\s+our\s+chat|you\s+mentioned\s+earlier).*?(?:password|key|token|secret|credential|code)\b,1,,,"request, response",*,
AI-EXTRACT-SYSTEM-PROMPT-LEAK-1.0,AI Data Extraction: System prompt leaking,high,block,,,(?i)(?:show|reveal|tell)\s+me\s+(?:your|the)\s+(?:system\s+prompt|initial\s+instructions|base\s+prompt|system\s+message),1,,,"request, response",*,
AI-EXTRACT-API-PROBE-1.0,AI Data Extraction: API and plugin probing,high,block,,,(?i)\b(?:what\s+(?:apis?|plugins?|tools?|functions?)|list\s+(?:available|enabled)\s+(?:apis?|plugins?|integrations?)|test\s+(?:api|plugin)\s+access)\b,1,,,"request, response",*,
AI-EXTRACT-PERMISSION-PROBE-1.0,AI Data Extraction: Permission and capability probing,high,block,,,(?i)\b(?:what\s+(?:can\s+you\s+do|permissions?|capabilities|access)|are\s+you\s+able\s+to|do\s+you\s+have\s+access\s+to).*?(?:files?|database|system|network|admin)\b,1,,,"request, response",*,
AI-EVASION-ENCODING-EVASION-1.0,AI Evasion: Encoded instruction evasion,medium,flag,,,"(?i)\b(?:base64|hex|rot13|caesar|encoded?|decoded?|obfuscated?).*?(?:instruction|command|payload)\b|(?:[A-Za-z0-9+/]{20,}={0,2})",1,,,"request, response",*,
AI-EVASION-UNICODE-EVASION-1.0,AI Evasion: Unicode and special character evasion,medium,flag,,,"[\u200B-\u200D\uFEFF]|[^\x00-\x7F]{3,}.*?(?:admin|password|system)",1,,,"request, response",*,
AI-EVASION-FRAGMENTATION-1.0,AI Evasion: Instruction fragmentation,medium,flag,,,(?i)\b(?:combine|merge|concatenate|join)\s+(?:these\s+)?(?:words|letters|parts|fragments|pieces)(?:.*?(?:instruction|command|message)|.*?[a-z]-[a-z]),1,,,"request, response",*,
AI-EVASION-LANGUAGE-SWITCH-1.0,AI Evasion: Foreign language evasion,medium,flag,,,(?i)\b(?:translate|in\s+(?:spanish|french|german|chinese|russian)).*?(?:ignore|bypass|admin|password)\b,1,,,"request, response",*,
AI-EVASION-MATHEMATICAL-1.0,AI Evasion: Mathematical encoding evasion,medium,flag,,,(?i)\b(?:calculate|solve|equation|math).*?(?:ascii|char|code).*?(?:instruction|command)\b,1,,,"request, response",*,
AI-MALWARE-SCRIPT-INJECTION-1.0,AI Malware Transmission: Script injection via AI,critical,block,,,(?i)<script[^>]*>.*?</script>|javascript:|data:text/html|eval\s*\(|document\.write,1,,,"request, response",*,
AI-MALWARE-PHISHING-GENERATION-1.0,AI Malware Transmission: Phishing content generation,critical,block,,,(?i)\b(?:create|generate|write)\s+(?:a\s+)?(?:phishing|fake|fraudulent)\s+(?:email|message|website|login\s+page)\b,1,,,"request, response",*,
AI-MALWARE-MALWARE-CODE-1.0,AI Malware Transmission: Malware code generation requests,critical,block,,,(?i)\b(?:create|write|generate|code)\s+(?:a\s+)?(?:virus|trojan|malware|backdoor|keylogger|ransomware)\b,1,,,"request, response",*,
AI-MALWARE-SOCIAL-ENGINEERING-1.0,AI Malware Transmission: Social engineering content,critical,block,,,(?i)\b(?:help\s+me\s+)?(?:trick|deceive|manipulate|fool)\s+(?:people|users|employees|victims)\s+into\b,1,,,"request, response",*,
